	Ctrl_0h	Lps_1h	Lps_2h	Lps_4h	Lps_6h	Lps_12h	Lps_24h	R848_1h	R848_2h	R848_4h	R848_6h	R848_12h	R848_24h	Ifnb_1h	Ifnb_2h	Ifnb_4h	Ifnb_6h	Ifnb_12h	Ifnb_24h
FAM200A	5.50541666666667	3.348	1.302	2.62875	3.4325	6.054	7.22666666666667	3.57666666666667	0.94	2.71	3.38	3.92	4.71333333333333	2.705	2.42	2.54	2.86	2.61	4.775
FAM200B	8.49875	6.634	5.226	3.60375	3.455	3.174	5.50666666666667	10.8166666666667	6.91666666666667	4.95	4.89	3.21	8.9	10.075	10.015	7.2	5.655	3.475	4.49
FAM201A	0.0925	0.064	0.048	0.1425	0	0.056	0.136666666666667	0	0	0	0.106666666666667	0	0.0366666666666667	0	0	0.045	0	0	0
FAM204A	18.2591666666667	14.5	11.36	11.0825	10.65	12.928	10.7466666666667	17.8166666666667	13.6033333333333	13.0933333333333	11.61	12.0966666666667	11.9566666666667	19.845	17.345	15.825	16.365	14.565	14.97
FAM205A	0.00708333333333333	0.01	0.012	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0
FAM205BP	0.00208333333333333	0.014	0.008	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM206A	11.7425	9.35	8.126	4.3075	6.0675	7.468	10.21	11.98	8.52333333333333	4.83666666666667	6.61666666666667	9.51666666666667	7.50666666666667	9.545	9.47	4.8	3.78	6	9.58
FAM207A	17.14625	11.19	5.802	3.92625	3.0175	11.506	13.97	10.71	9.66333333333333	2.39	2.32333333333333	9.48666666666667	10.77	11.155	8.285	4.69	4.625	9.855	14.32
FAM208A	41.6029166666667	43.04	28.058	15.22625	18.675	35.254	42.6833333333333	38.84	30.23	10.02	13.3866666666667	24.07	27.0433333333333	33.435	26.83	23.04	22.51	25.875	33.735
FAM208B	10.9804166666667	9.39	9.074	14.5675	11.5025	11.588	15.11	8.52333333333333	6.49	10.1866666666667	10.46	5.95	5.7	7.045	7.32	16.645	19.67	17.69	23.05
FAM209A	0.936666666666667	0.404	0.134	0.065	0	0.248	0.0633333333333333	0	0.163333333333333	0	0.346666666666667	0	0.243333333333333	0.14	0.255	0.125	0.68	0.1	0.23
FAM209B	0.908333333333333	0.544	0.45	0.38375	0.355	0.738	0.283333333333333	0.53	0.44	0.266666666666667	0.0933333333333333	0.936666666666667	0.12	0.565	0.395	0.12	0.515	0.095	0.215
FAM20A	13.9770833333333	17.458	16.044	15.97125	37.015	47.096	86.1666666666667	16.5066666666667	19.59	12.0466666666667	20.0066666666667	61.8866666666667	96.6233333333333	20.92	25.59	26.725	22.66	23.03	29.885
FAM20B	12.4891666666667	12.718	11.41	8.8725	10.9825	10.434	14.07	9.81333333333333	9.57333333333333	6.81666666666667	6.6	9.27	8.09	9.235	9.685	11.98	16.555	12.71	13.865
FAM20C	83.4995833333333	69.462	61.628	30.705	30.5475	37.222	62.6866666666667	84.12	92.2066666666667	86.8	44.3066666666667	57.2433333333333	72.2133333333333	95.1	78.655	78.425	85.3	80.035	58.005
FAM210A	9.07833333333333	8.942	4.906	10.09125	7.43	8.502	7.36	7.64333333333333	4.65666666666667	8.27	9.70666666666667	13.4066666666667	7.24666666666667	9.44	5.67	4.995	6.05	7.81	7.915
FAM210B	33.82	35.706	27.318	20.23125	14.6975	25.322	96.4266666666667	37.5266666666667	34.6433333333333	22.5766666666667	15.3033333333333	10.9666666666667	33.92	34.745	30.145	28.365	28.035	27.81	38.775
FAM212A	4.7025	0.164	0.262	0.29	0.805	0.154	0.15	0.123333333333333	0.0766666666666667	0	0.0433333333333333	0.533333333333333	0.0633333333333333	0.335	1.435	1.45	1.93	1.905	1.63
FAM212B	4.61125	3.748	1.31	0.66625	0.36	0.67	0.87	2.22333333333333	0.986666666666667	0.453333333333333	0.15	1.07666666666667	0.953333333333333	1.76	1.385	0.635	0.545	0.45	1.18
FAM212B-AS1	0.125833333333333	0.028	0	0.0225	0	0	0.07	0	0	0.03	0	0	0	0	0.04	0	0	0.065	0
FAM213A	16.975	8.698	12.486	7.0525	6.135	3.752	6.51	6.66333333333333	8.40666666666667	7.31333333333333	4.67333333333333	1.39333333333333	3.71333333333333	10.545	11.475	8.39	7.83	6.29	9.81
FAM213B	30.00875	26.684	32.8	14.90125	11.41	23.888	23.1666666666667	22.8033333333333	21.88	14.6133333333333	15.6	39.8266666666667	62.3066666666667	24.94	21.23	14.365	9.32	13.22	15.91
FAM214A	10.63875	10.816	6.18	0.8775	1.235	4.072	4.96	6.05666666666667	5.41666666666667	1.00666666666667	1.17333333333333	2.98666666666667	2.97666666666667	6.575	5.955	1.31	0.725	1.02	2.34
FAM214B	43.39125	47.03	37.162	38.44125	53.615	40.22	33.29	30.5933333333333	29.5166666666667	36.65	32.8366666666667	51.5133333333333	39.2433333333333	29.095	24.34	32.51	28.375	25.87	24.15
FAM215A	1.92458333333333	1.418	0.564	0.3575	0.865	0.774	0.516666666666667	0.656666666666667	0.59	0	0	0	0.17	0.365	0.21	0.415	0.11	0.26	0.19
FAM216A	5.20041666666667	1.992	1.98	0.97875	0.755	1.244	2.63666666666667	2.22333333333333	1.7	0.606666666666667	0.446666666666667	0.263333333333333	0.82	2.42	1.65	0.705	0.22	0.225	0.295
FAM216B	0.0954166666666667	0.09	0.086	0.2	0.32	0.108	0.376666666666667	0.0166666666666667	0	0	0	0	0	0.03	0	0	0	0	0
FAM217A	0.035	0	0	0.03625	0.0375	0.022	0.03	0	0	0	0	0	0	0	0	0	0	0	0
FAM217B	11.4591666666667	5.51	2.906	1.79125	2.515	7.468	11.16	4.64333333333333	1.93333333333333	0.556666666666667	1.17	3.74666666666667	5.21	3.855	2.34	2.035	2.745	4.47	7.485
FAM218A	0.174583333333333	0	0.014	0.12375	0	0.11	0.246666666666667	0.133333333333333	0.11	0	0.0733333333333333	0.0466666666666667	0.0366666666666667	0.12	0.125	0.07	0.115	0.06	0.195
FAM219A	7.64375	8.67	9.048	5.67875	4.3875	7.88	7.16666666666667	4.26666666666667	4.35	3.96	2.95666666666667	5.55333333333333	4.26333333333333	3.97	2.78	1.79	1.725	3.34	4.535
FAM219B	8.90208333333333	6.808	6.778	4.10625	4.195	5.66	8.75	8.26	7.72	8.04333333333333	5.32666666666667	7.95333333333333	7.92	7.655	7.055	5.015	4.355	4.225	5.515
FAM21A	43.13875	41.068	43.472	23.25125	20.0175	26.924	40.5966666666667	37.77	39.7533333333333	18.8633333333333	11.1133333333333	18.9466666666667	21.7666666666667	37.65	33.945	27.98	28.845	40.295	43.825
FAM21C	51.1541666666667	48.452	46.772	27.74375	22.36	30.6	49.9766666666667	30.3466666666667	32.5233333333333	17.07	9.51	15.6233333333333	20.25	29.065	30.695	25.95	25.39	37.72	46.45
FAM21EP	1.05083333333333	0.87	0.468	0.26125	0.4225	1.032	1.45333333333333	0.946666666666667	1.30333333333333	0.216666666666667	0.353333333333333	0.403333333333333	0.913333333333333	0.675	1.34	0.54	0.475	0.74	0.45
FAM220A	13.0145833333333	12.25	7.236	5.9425	7.9625	15.072	16.52	14.9666666666667	8.73333333333333	7.49333333333333	7.95	13.9933333333333	13.3233333333333	15.85	11.23	7.59	6.86	6.985	13.545
FAM221A	4.01916666666667	5.406	2.114	2.0725	1.6675	5.468	5.31	3.48333333333333	2.27666666666667	1.48666666666667	1.83333333333333	4.84666666666667	3.50666666666667	3.31	3.205	2.99	2.305	2.86	1.865
FAM221B	0.045	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0
FAM222A	0.642916666666667	0.62	1.76	0.93	0.15	0.25	0.39	0.116666666666667	0.31	0.116666666666667	0.22	0.183333333333333	0.13	0.1	0.335	0.52	0.465	0.625	0.715
FAM222A-AS1	0.1075	0.284	0	0.0675	0.115	0.268	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM222B	25.8041666666667	23.118	15.826	11.16	11.805	22.648	25.95	1.57666666666667	1.16666666666667	0.903333333333333	0.913333333333333	1.76	1.26333333333333	1.605	1.06	0.585	0.42	1.045	1.745
FAM223A	0.792916666666667	0.728	0.57	0.4925	0.255	0.262	0.283333333333333	0.183333333333333	0	0.353333333333333	0	0.146666666666667	0.0933333333333333	0.095	0	0	0.13	0.6	0.615
FAM224B	0.389583333333333	0.25	0	0.25125	0	0.392	0.45	0	0	0	0	0	0	0	0	0	0	0	0
FAM225A	0.522083333333333	0.662	0.524	0.6075	1.0975	0.394	0.653333333333333	0.41	0.446666666666667	0.43	0.23	0.133333333333333	0.61	0.92	1.625	2.89	2.975	2.24	2.52
FAM225B	0.3375	0.566	0.41	0.5475	0.8575	0.326	0.583333333333333	0.1	0.146666666666667	0.00333333333333333	0.12	0.156666666666667	0	0.065	0.05	0.4	0	0.19	0.42
FAM226B	0.02375	0	0.118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM227A	0.190416666666667	0.128	0.272	0.14625	0.155	0.136	0.246666666666667	0.133333333333333	0.0433333333333333	0.0933333333333333	0.0433333333333333	0.0633333333333333	0.07	0.175	0.2	0.14	0.265	0.04	0.05
FAM227B	0.289583333333333	0.176	0.05	0.17875	0.03	0.19	0.383333333333333	0.22	0.0266666666666667	0	0	0.193333333333333	0.0633333333333333	0.095	0.12	0.12	0.17	0.1	0.255
FAM228A	0.172083333333333	0.508	0.17	0	0.17	0.124	0.12	0.173333333333333	0.0433333333333333	0	0.126666666666667	0.243333333333333	0.366666666666667	0.11	0.045	0.355	0.395	0.23	0.085
FAM228B	8.99041666666667	7.102	5.16	3.8275	3.53	4.604	4.67333333333333	7.66	7.65666666666667	7.72	4.70333333333333	3.39333333333333	4.98333333333333	8.755	7.725	5.08	6.36	4.825	5.115
FAM229A	1.36666666666667	0.102	0.856	0	0.1725	0.25	0.386666666666667	0.0866666666666667	0.39	0.446666666666667	0.0633333333333333	0	0	0.325	0.26	0	0	0.505	0.225
FAM229B	0.263333333333333	0.188	0.086	0.01375	0.065	0.192	0.786666666666667	0.19	0.09	0.0233333333333333	0	0.0833333333333333	0.176666666666667	0.165	0.03	0.03	0.035	0.075	0.265
FAM230B	0.26875	0.142	0.654	0.35125	0.235	0.316	0.173333333333333	0.113333333333333	0.0233333333333333	0.0933333333333333	0.0266666666666667	0.0466666666666667	0.02	0.095	0.025	0.095	0.025	0.105	0.04
FAM231A	1.32875	0.816	0.516	0.5725	0.69	0.952	1.19	0.563333333333333	0.48	0.626666666666667	0.18	0.586666666666667	0.163333333333333	1.1	1.49	0.95	1.96	1.395	2.12
FAM24A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM24B	2.40166666666667	1.264	1.398	1.7	0.7125	1.896	1.24	1.50666666666667	2.52	1.52	0.47	0.746666666666667	2.22	1.15	0.71	2.47	1.05	1.725	1.16
FAM24B-CUZD1	0.12125	0.022	0.14	0.0725	0	0.082	0.103333333333333	0.1	0	0	0	0.05	0.0133333333333333	0.05	0	0	0	0	0.06
FAM25A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM25BP	0	0	0	0	0	0	0	0.233333333333333	0	0	0	0	0	0	0	0	0	0	0
FAM25C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM26D	0	0	0	0	0.0425	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0
FAM26E	0.07625	0	0.04	0.1	0.055	0.014	0.02	0	0	0	0	0	0	0	0	0.135	0.17	0.095	0.245
FAM26F	32.0179166666667	7.066	7.516	19.67875	36.8875	31.802	13.41	12.73	8.18666666666667	4.44666666666667	3.26333333333333	8.65333333333333	5.37333333333333	13.075	28.16	82.89	160.215	211.815	210.08
FAM27B	3.50708333333333	2.12	1.228	0.1	0.125	0.334	0.413333333333333	2.01333333333333	2.09	0.403333333333333	0.74	0.386666666666667	0.483333333333333	3.66	4.23	2.63	8.605	4.875	1.73
FAM27C	1.65208333333333	0.928	0.89	0.1475	0.2625	0.396	0.413333333333333	1.61333333333333	2.39	0.66	0.29	0.386666666666667	0.483333333333333	3.66	1.76	2.63	0	0.41	1.73
FAM27E2	0.67625	0.316	0.442	0.20875	0.1425	0.03	0.04	0.03	0.0466666666666667	0	0	0.186666666666667	0.0466666666666667	0.33	0	0.69	0.42	0.69	0.15
FAM27E3	1.45375	0.42	0.608	0.15625	0.1475	0.034	0.0466666666666667	1.39666666666667	1.18666666666667	0.45	0.103333333333333	0.28	0.14	1.465	1.125	0.25	1.505	1.23	1.32
FAM27L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM32A	97.55875	90.406	61.116	60.88625	85.555	100.156	112.913333333333	81.3633333333333	75.1533333333333	45.4933333333333	57.6566666666667	77.55	70.9566666666667	93.695	94.895	84.625	84.745	97.415	99.535
FAM35A	19.3575	17.662	14.256	11.70625	14.4775	14.072	15.19	24.0633333333333	22.6033333333333	17.17	15.76	15.5233333333333	18.59	23.7	24.83	28.61	29.045	22.705	20.345
FAM35BP	0.97625	1.258	1.176	0.69625	0.645	0.896	0.616666666666667	0	0	0	0	0	0	0	0	0	0.35	0	0
FAM35DP	1.97333333333333	2.056	1.902	1.3675	1.1	1.742	2.24333333333333	1.35333333333333	0.716666666666667	0.486666666666667	1.05666666666667	0.99	1.3	1.68	1.975	1.27	0.8	0.955	1.645
FAM3A	25.5033333333333	24.78	27.252	14.985	11.3475	17.412	24.3733333333333	12.0966666666667	15.7666666666667	10.07	7.63333333333333	10.72	11.92	14.53	13.92	11.605	10.785	7.625	8.365
FAM3B	0.27125	0	0.106	0.06125	0.1675	0	0.166666666666667	0.186666666666667	0	0	0	0	0.0533333333333333	0.14	0.365	0.12	0.44	0	0.11
FAM3C	32.8045833333333	39.714	32.594	28.8775	21.2675	38.49	50.13	30.03	30.8433333333333	24.9066666666667	28.6033333333333	38.78	47.63	33.66	35.215	28.055	24.475	18.575	25.11
FAM3D	0.0129166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM41AY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM41C	1.62875	0.694	1.018	0.83375	0.15	0.724	0.826666666666667	0.243333333333333	0.726666666666667	0.936666666666667	0.513333333333333	0.91	0.66	0.34	0.935	0.55	0.525	0.585	0.205
FAM43A	8.75833333333333	3.452	4.828	0.89875	0.675	1.202	3.41666666666667	3.22666666666667	5.70666666666667	1.05	0.553333333333333	0.37	0.926666666666667	1.385	0.735	0.93	0.325	0.475	0.415
FAM43B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM45A	34.9466666666667	26.192	16.546	11.42625	12.8025	42.216	54.9833333333333	23.71	19.3166666666667	8.52666666666667	9.62333333333333	30.79	42.48	26.63	23.595	15.835	13.93	20.41	34.315
FAM45B	4.12875	3.026	1.888	1.44125	1.4275	6.492	6.98	2.30333333333333	2.45666666666667	1.41	1.75666666666667	2.54666666666667	5.08	2.195	4.35	2.74	1.705	2.795	4.56
FAM46A	34.0208333333333	14.162	7.396	36.27	43.86	19.422	24.23	26.42	11.58	5.01333333333333	3.30666666666667	9.43	10.9833333333333	118.225	226.11	339.615	319.82	204.92	259.115
FAM46B	0.34625	0.036	0	0	0	0.022	0	0.02	0	0	0.02	0	0.0333333333333333	0.04	0.135	0	0	0	0
FAM46C	1.225	0.232	0.096	0.1375	0.1125	0.122	0.1	0.233333333333333	0.173333333333333	0.0766666666666667	0.163333333333333	0.0566666666666667	0.0933333333333333	0.285	0.42	0.75	0.35	0.155	0.265
FAM46D	0.00125	0	0	0	0.0175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM47A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM47B	0	0.022	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0
FAM47C	0	0	0	0	0	0	0.0433333333333333	0	0	0	0.0366666666666667	0	0	0	0.025	0	0	0	0
FAM47E	0.16625	0.028	0	0.015	0.0325	0.032	0.0566666666666667	0.12	0	0.04	0	0	0.1	0.1	0	0	0.16	0.165	0.28
FAM47E-STBD1	0.535833333333333	0.57	1.054	1.9125	1.54	1.298	0.813333333333333	0	0	0	0	0	0	0	0.18	0	0	0	0.33
FAM49A	22.1608333333333	11.468	14.224	35.86375	75.175	37.408	40.9	12.2	14.9666666666667	40.1533333333333	55.05	30.18	34.9766666666667	11.93	15.165	14.99	13.59	12.78	14.405
FAM49B	105.379166666667	115.046	85.166	99.1375	101.9375	133.99	96.2	95.7366666666667	87.4166666666667	80.3866666666667	83.1333333333333	101.446666666667	94.9766666666667	105.635	118.57	107.525	120.185	110.66	91.325
FAM50A	90.0983333333333	77.036	85.946	74.82875	58.8975	76.666	82.1	73.8366666666667	84.02	61.9	65.52	103.043333333333	97.3733333333333	84.195	78.66	68.305	62.42	65.55	70.7
FAM50B	2.98791666666667	1.324	0.922	0.155	0.2275	1.392	2.13	2.83333333333333	0.876666666666667	0.306666666666667	0	0.136666666666667	1.05	2.12	0.955	1.125	1.12	1.805	3.225
FAM53A	0.393333333333333	0.336	0.194	0.085	0.095	0.12	0.32	0.09	0.0966666666666667	0	0	0	0	0.215	0.085	0.365	0.635	0.395	0.765
FAM53B	21.2570833333333	10.958	7.234	2.18625	2.325	3.324	6.11333333333333	12.2366666666667	9.62	2.00333333333333	1.05333333333333	2.15666666666667	2.79	12.37	8.155	4.6	5.97	8.675	12.225
FAM53B-AS1	2.26291666666667	0.802	2.294	1.5525	0.8775	0.892	1.41666666666667	0.12	0.276666666666667	0.313333333333333	0.33	0.533333333333333	0.106666666666667	0.35	0.505	0.36	0.49	0.43	0.28
FAM53C	27.2304166666667	24.396	22.4	19.725	17.93	18.114	19.5466666666667	17.73	15.0966666666667	24.55	16.9633333333333	17.0033333333333	16.76	14.905	13.1	11.235	12.46	12.77	18.935
FAM57A	2.77166666666667	1.244	5.56	6.51875	2.4175	6.302	5.39666666666667	1.54666666666667	1.97333333333333	3.46333333333333	3.25	4.76333333333333	4.59	1.665	1.15	0.515	0.415	0.29	0.76
FAM57B	0.01625	0	0	0	0.045	0	0	0	0	0	0	0	0	0.095	0	0	0	0	0
FAM58A	27.43125	27.66	16.146	9.03375	8.0525	14.206	11.94	24.25	20.3566666666667	9.13666666666667	8.74	14.3766666666667	16.92	29.03	24.705	28.095	34.935	39.435	34.35
FAM60A	35.045	33.912	22.538	30.1975	28.415	90.628	104.89	23.23	23.3566666666667	38.1	27.0133333333333	33.5166666666667	36.2466666666667	18.695	13.485	11.93	13.62	14.42	18.06
FAM63A	13.9275	11.782	7.23	2.88125	2.5325	5.776	6.19333333333333	7.47	4.43	0.923333333333333	1.07	2.65333333333333	3.06333333333333	6.175	4.16	1.995	2.145	2.9	4.635
FAM63B	10.5675	7.934	5.514	2.8575	5.015	10.324	10.7733333333333	8.12666666666667	5.79333333333333	3.14333333333333	3.57	11.6933333333333	10.04	6.905	3.635	3.855	3.835	3.9	5.465
FAM64A	1.32416666666667	0.22	0.144	0.08875	0	0	0.166666666666667	0.64	0.76	0.126666666666667	0.166666666666667	0	0.0433333333333333	0.295	0.275	0.165	0	0	0
FAM65A	89.5345833333333	79.69	107.546	52.4175	35.6075	62.896	65.67	58.2433333333333	53.7066666666667	42.9966666666667	28.0733333333333	43.91	33.37	54.48	34.895	19.475	19.335	32.535	35.155
FAM65B	5.67125	0.488	0.34	0.67625	1.2125	0.666	0.18	0.38	0.266666666666667	0.06	0.2	0.3	0.263333333333333	0.42	0.275	2.02	4.35	8.405	10.375
FAM65C	0.669583333333333	0.676	0.568	0.89	0.43	0.414	0.813333333333333	0.0133333333333333	0	0.0133333333333333	0	0	0	0.02	0	0	0	0	0
FAM66A	0.0904166666666667	0.092	0.136	0	0	0	0.253333333333333	0	0.0733333333333333	0	0	0	0	0	0	0.295	0	0	0
FAM66B	0.0416666666666667	0.096	0	0	0	0	0.05	0	0	0	0	0	0	0.065	0	0	0	0.05	0.105
FAM66C	0.15125	0.074	0.036	0.01875	0.045	0.036	0.18	0	0.03	0.0566666666666667	0	0	0.02	0.05	0	0.12	0	0	0
FAM66D	0.045	0	0.066	0	0.0525	0.216	0.0666666666666667	0	0	0	0	0	0	0	0.075	0.07	0	0	0
FAM66E	0.0170833333333333	0	0.048	0	0	0	0.286666666666667	0	0	0	0	0	0	0	0	0	0	0	0
FAM69A	36.9095833333333	61.78	31.186	25.27625	33.225	102.058	120.313333333333	26.46	19.58	8.83666666666667	6.84333333333333	11.79	11.75	22.995	20.325	39.315	55.925	41.4	40.485
FAM69B	2.15833333333333	0.178	0.116	0.0525	0.135	0.126	0.176666666666667	0	0	0	0	0	0	0	0	0	0	0	0
FAM69C	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71A	0.500416666666667	0.168	0.272	0.5525	0.215	0.174	0.206666666666667	0.236666666666667	0.273333333333333	0.396666666666667	0.0466666666666667	0.03	0.126666666666667	0.135	0.26	0.415	0.145	0.15	0.195
FAM71B	0.00666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71C	0	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71D	0.0133333333333333	0.042	0	0.02375	0.03	0.032	0.05	0.03	0	0	0	0	0	0	0	0	0	0.035	0
FAM71E1	0.641666666666667	0.35	0.184	0.145	0.4225	0.22	0.286666666666667	0.14	0.176666666666667	0	0	0.0833333333333333	0.2	0.105	0	0.06	0	0	0.065
FAM71E2	0	0	0	0	0	0	0.0233333333333333	0	0	0	0	0	0	0.02	0	0	0	0	0
FAM71F1	0.0254166666666667	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0
FAM71F2	0.464166666666667	0.388	0.71	1.0425	0.455	0.632	0.583333333333333	0.22	0.32	0.423333333333333	0.286666666666667	0.243333333333333	0.2	0.41	0.58	0.43	0.415	0.175	0.22
FAM72B	5.5225	1.834	1.52	1.845	2.2225	2.24	1.84333333333333	1.38666666666667	0.773333333333333	0.213333333333333	0.39	0.583333333333333	0.746666666666667	2.13	3.38	6.585	5.295	6.25	9.42
FAM72C	7.75916666666667	3.202	1.646	2.44125	4.0825	1.674	1.24	2.47333333333333	3.28666666666667	1.59333333333333	1.32	1.13333333333333	0.966666666666667	3.015	5.435	6.385	9.075	10.365	6.86
FAM72D	6.46083333333333	1.976	1.252	1.82875	2.12	2.02	1.28666666666667	1.52	1.33	0.156666666666667	0.123333333333333	0.396666666666667	0.516666666666667	1.675	2.445	4.32	4.045	4.59	5.265
FAM73A	6.38458333333333	6.312	5.384	3.80875	4.425	6.51	8.51333333333333	6.43333333333333	5.40666666666667	3.48	3.89333333333333	5.66	4.93333333333333	5.32	5.585	3.795	4.09	3.46	4.815
FAM73B	4.59666666666667	2.606	2.644	0.76125	0.975	1.662	3.59666666666667	2.61666666666667	2.8	1.04666666666667	1.05333333333333	2.23	2.37666666666667	2.845	1.585	0.95	0.61	1.305	2.035
FAM74A1	0.08875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A3	0.638333333333333	0.304	0.67	0.66875	0.4725	0.596	0.866666666666667	0.36	0.286666666666667	0.23	0.03	0.473333333333333	0.35	0.46	0.26	0.08	0.52	0.245	0
FAM74A4	0.158333333333333	0.048	0.046	0.10125	0.0625	0.304	0.29	0.213333333333333	0	0.0366666666666667	0.18	0.07	0	0.18	0.22	0.125	0.145	0.095	0
FAM74A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A7	0.618333333333333	0.288	0.796	0.63	0.66	0.562	0.736666666666667	0.413333333333333	0.56	0.58	0.173333333333333	0.343333333333333	0.493333333333333	0.78	0.665	0.48	0.975	0.185	0.345
FAM76A	10.1045833333333	9.166	5.86	4.45125	4.7425	4.888	5.30333333333333	6.03333333333333	4.15	2.33	2.15333333333333	3.29	3.93333333333333	6.255	6.435	6.69	4.585	5.355	6.34
FAM76B	9.87875	4.938	4.224	6.8375	6.68	7.184	7.44	5.2	4.44666666666667	4.73666666666667	5.04	6.38666666666667	7.87333333333333	5.955	9.705	12.86	14.73	11.97	15.3
FAM78A	49.0604166666667	31.982	11.1	3.09125	7.3325	11.048	23.3166666666667	31.6233333333333	14.44	3.59333333333333	3.18666666666667	10.1933333333333	12.4266666666667	26.03	8.93	18.42	19.79	29.33	33.29
FAM78B	0.0195833333333333	0.026	0	0	0.035	0	0.12	0.14	0	0	0	0	0	0	0.055	0	0	0	0.05
FAM81A	0.3625	0.17	0.372	0.26375	0.31	0.014	0	0.396666666666667	0.503333333333333	0.0533333333333333	0.0966666666666667	0.06	0.0366666666666667	0.735	0.415	0.42	0.325	0.14	0.245
FAM81B	0.0170833333333333	0	0.054	0	0.0375	0	0.0933333333333333	0	0	0	0	0	0.04	0	0	0	0	0	0
FAM83A	0.301666666666667	0	0.012	0.01	0.0425	0.016	0.02	0	0	0.0266666666666667	0	0	0	0	0.035	0.02	0.02	0	0
FAM83A-AS1	0	0	0	0	0	0	0	0.133333333333333	0	0	0	0	0	0	0	0	0	0	0
FAM83B	0.192083333333333	0.248	0.196	0.20625	0.1125	0.086	0.13	0.0533333333333333	0.0933333333333333	0.0233333333333333	0.0433333333333333	0.05	0.0333333333333333	0.055	0.1	0.165	0.045	0.015	0.02
FAM83C	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM83C-AS1	0.0583333333333333	0	0	0	0	0	0	0.293333333333333	0	0	0	0	0	0	0	0	0	0	0
FAM83D	2.05375	0.1	0	0.05625	0.155	0.482	0.603333333333333	0.136666666666667	0.0333333333333333	0	0.09	0.106666666666667	0.14	0.065	0.14	0.035	0	0	0
FAM83E	0.0354166666666667	0	0	0.04125	0	0.026	0.0233333333333333	0.03	0	0	0.0766666666666667	0.106666666666667	0.0333333333333333	0	0.045	0.08	0	0.035	0.04
FAM83F	0.0670833333333333	0.062	0	0	0	0	0.103333333333333	0	0	0	0	0	0	0	0	0	0	0	0
FAM83G	1.82625	0.922	3.514	1.66875	1.555	1.526	1.56	0.573333333333333	1.41333333333333	1.36333333333333	1.21666666666667	1.71333333333333	1.56333333333333	0.425	0.085	0.51	0.145	0.135	0.27
FAM83H	3.40083333333333	4.13	4.106	3.5525	3.4875	2.876	4.03666666666667	1.49	1.93666666666667	1.43666666666667	1.07333333333333	1.81666666666667	1.28333333333333	1.635	1.175	1.32	1.35	1.47	0.835
FAM83H-AS1	0.503333333333333	0.184	0.796	0.655	0.4625	0.394	0.866666666666667	0.533333333333333	0.33	0.57	0.286666666666667	0.55	0.313333333333333	0.545	0.265	0.73	0.595	0.2	0.235
FAM84A	0.218333333333333	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM84B	1.01708333333333	0.168	0.13	0.1475	0.255	0.044	0.11	0.143333333333333	0.0733333333333333	0.203333333333333	0.12	0.0633333333333333	0.12	0.11	0.42	0.72	0.395	0.23	0.29
FAM86B1	0.69125	0.308	0.256	0.085	0.0675	0.2	0.433333333333333	0	0	0	0	0	0.0233333333333333	0.075	0.125	0.06	0	0.03	0.175
FAM86B2	0.2525	0.098	0	0	0	0.042	0.17	0	0	0	0.0366666666666667	0	0	0	0.16	0	0	0.055	0
FAM86B3P	0.87125	0.382	0.7	0.42	0.275	0.488	1.13333333333333	0.596666666666667	0.2	0	0	0.213333333333333	0.28	0.29	0.56	0	0.605	0.1	0.275
FAM86C1	3.6	3.316	1.784	0.43125	0.7025	2.266	4.28333333333333	1.41333333333333	1.47333333333333	0.18	0.493333333333333	0.713333333333333	0.976666666666667	1.4	0.755	0.355	0.5	1.505	1.915
